Date of Report,Longitude,Latitude,County,Sub-County,Ward,Village,Animals Affected,Signs of Disease,Total Number of Animals in the herd,Number Sick,Number Dead
2026-07-22,40.2287987,3.3928875,Mandera,Mandera West,Takaba,Bulla Milimani ,Camel,"[Aggressiveness (Ukali), Lamess (Kushindwa kutembea), Wounds on Legs & mouth, Difficulty breathing (Kushindwa Kupumua), Skin swellings (uvimbe wa ngozi), Diarrhoea (Kuhara), Nasal discharges (Makamasi), Discharge from the eyes (Machozi)]",200,50,8
2026-07-19,40.2314375,3.3919559,Mandera,Mandera West,Takaba,Bulla Elwka ,Cattle,"[Aggressiveness (Ukali), Lameness (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua), Wounds on Legs & mouth, Skin swellings (uvimbe wa ngozi), Diarrhoea (Kuhara), Nasal discharges (Makamasi), Discharge from the eyes (Machozi)]",80,15,6
2026-07-25,38.9741436,1.3070703,Isiolo,Merti,Cherub,Basa,Goats,"[Difficulty breathing (Kushindwa Kupumua), Wounds on Legs & mouth]",40,2,0
2026-07-25,38.9725133,1.3066279,Isiolo,Merti,Cherub,Basa,Sheep,"[Loss of weight, Lameness (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua)]",52,3,1
2026-07-25,0.0,0.0,Mandera,Mandera West,Takaba South,Waigadahan,Cattle,"[Abortions (Mimba Kutoka), Sudden Death (Kifo cha ghafla), Bleeding from openings (Kuvunja damu), Aggressiveness (Ukali), Pouring Saliva (Kumwaga mate), Lameness (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua), Wounds on Legs & mouth, Skin swellings (uvimbe wa ngozi), Bloody Faeces, Diarrhoea (Kuhara), Vomiting (kutapika), Swollen glands, Discharge from the eyes (Machozi), Nasal discharges (Makamasi), Others]",50,5,10
2026-07-24,0.0,0.0,Mandera,Mandera West,Takaba South,Waigadahan,Sheep,"[Sudden Death (Kifo cha ghafla), Abortions (Mimba Kutoka), Bleeding from openings (Kuvunja damu), Lameness (Kushindwa kutembea), Pouring Saliva (Kumwaga mate), Wounds on Legs & mouth, Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Skin swellings (uvimbe wa ngozi), Diarrhoea (Kuhara), Vomiting (kutapika), Bloody Faeces, Loss of weight, Others]",40,5,9
2026-07-23,0.0,0.0,Mandera,Mandera West,Takaba South,Waigadahan,Goats,"[Abortions (Mimba Kutoka), Sudden Death (Kifo cha ghafla), Bleeding from openings (Kuvunja damu), Pouring Saliva (Kumwaga mate), Lameness (Kushindwa kutembea), Wounds on Legs & mouth, Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Swollen glands, Diarrhoea (Kuhara), Bloody Faeces, Skin swellings (uvimbe wa ngozi), Others]",50,10,5
2026-07-23,0.0,0.0,Mandera,Mandera West,Takaba South,Waigadahan,Camel,"[Abortions (Mimba Kutoka), Sudden Death (Kifo cha ghafla), Pouring Saliva (Kumwaga mate), Bleeding from openings (Kuvunja damu), Aggressiveness (Ukali), Lamess (Kushindwa kutembea), Wounds on Legs & mouth, Difficulty breathing (Kushindwa Kupumua), Skin swellings (uvimbe wa ngozi), Diarrhoea (Kuhara), Bloody Faeces, Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Swollen glands, Others]",80,20,10
2026-07-22,0.0,0.0,Mandera,Mandera West,Takaba South,Waigadahan,Goats,"[Abortions (Mimba Kutoka), Sudden Death (Kifo cha ghafla), Bleeding from openings (Kuvunja damu), Pouring Saliva (Kumwaga mate), Lameness (Kushindwa kutembea), Wounds on Legs & mouth, Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Swollen glands, Diarrhoea (Kuhara), Bloody Faeces, Skin swellings (uvimbe wa ngozi), Others]",69,8,5
2026-07-21,0.0,0.0,Mandera,Mandera West,Takaba South,Waigadahan,Camel,"[Abortions (Mimba Kutoka), Sudden Death (Kifo cha ghafla), Bleeding from openings (Kuvunja damu), Pouring Saliva (Kumwaga mate), Lamess (Kushindwa kutembea), Aggressiveness (Ukali), Wounds on Legs & mouth, Difficulty breathing (Kushindwa Kupumua), Skin swellings (uvimbe wa ngozi), Bloody Faeces, Diarrhoea (Kuhara), Swollen glands, Discharge from the eyes (Machozi), Others, Nasal discharges (Makamasi)]",56,10,5
